O8III	O	8	III	46.5	2.07E+05	1.49E+01	32400	-0.31	-5.2	-3.34	-8.54	0.615686275	0.698039216	1	1.9759E-02	4.17E-02	1.13E-01	4.3E+02	6.2E+02	1.9E+02
O8IV	O	8	IV	34.7	1.57E+05	1.30E+01	32400	-0.31	-4.9	-3.34	-8.24	0.6	0.690196078	1	2.2201E-02	3.24E-02	8.79E-02	3.7E+02	5.4E+02	1.6E+02
O8V	O	8	V	23	9.91E+04	1.03E+01	32400	-0.31	-4.4	-3.34	-7.74	0.615686275	0.694117647	1	2.9586E-02	2.36E-02	6.41E-02	3.0E+02	4.3E+02	1.3E+02
O8VI	O	8	VI	7.6	5.70E+04	7.81E+00	32400	-0.31	-3.8	-3.34	-7.14	0.615686275	0.694117647	1	2.2425E-02	7.12E-03	1.93E-02	2.2E+02	3.2E+02	9.9E+01

O9Ia0	O	9	Ia0	71.8	3.19E+06	8.05E+01	27600	-0.29	-8.6	-2.91	-11.51	0.643137255	0.725490196	1	1.9347E-04	1.38E-02	3.74E-02	1.7E+03	2.4E+03	7.4E+02
O9Ia	O	9	Ia	63.1	7.31E+05	3.85E+01	27600	-0.29	-7	-2.91	-9.91	0.643137255	0.725490196	1	1.5543E-03	2.43E-02	6.59E-02	8.0E+02	1.2E+03	3.5E+02
O9Ib	O	9	Ib	54.5	3.19E+05	2.55E+01	27600	-0.29	-6.1	-2.91	-9.01	0.643137255	0.725490196	1	4.6201E-03	3.01E-02	8.18E-02	5.3E+02	7.7E+02	2.3E+02
O9II	O	9	II	45.9	2.76E+05	1.98E+01	30200	-0.3	-5.7	-3.15	-8.85	0.62745098	0.729411765	1	8.3118E-03	3.09E-02	8.38E-02	4.9E+02	7.1E+02	2.2E+02
O9III	O	9	III	37.3	1.59E+05	1.50E+01	30200	-0.3	-5.1	-3.15	-8.25	0.619607843	0.694117647	1	1.5535E-02	3.09E-02	8.39E-02	3.7E+02	5.4E+02	1.6E+02
O9IV	O	9	IV	28.6	1.10E+05	1.25E+01	30200	-0.3	-4.7	-3.15	-7.85	0.607843137	0.694117647	1	2.0583E-02	2.60E-02	7.07E-02	3.1E+02	4.5E+02	1.4E+02
O9V	O	9	V	20	5.76E+04	9.04E+00	30200	-0.3	-4	-3.15	-7.15	0.603921569	0.698039216	1	3.8054E-02	2.23E-02	6.06E-02	2.3E+02	3.2E+02	9.9E+01
O9VI	O	9	VI	6.7	3.31E+04	6.85E+00	30200	-0.3	-3.4	-3.15	-6.55	0.603921569	0.698039216	1	2.9301E-02	6.86E-03	1.86E-02	1.7E+02	2.5E+02	7.5E+01

B0Ia0	B	0	Ia0	50.1	2.28E+06	8.30E+01	25000	-0.27	-8.5	-2.65	-11.15	0.631372549	0.741176471	1	1.2316E-04	8.28E-03	2.25E-02	1.4E+03	2.1E+03	6.3E+02
B0Ia	B	0	Ia	44.7	5.73E+05	4.16E+01	25000	-0.27	-7	-2.65	-9.65	0.631372549	0.741176471	1	8.7278E-04	1.42E-02	3.85E-02	7.1E+02	1.0E+03	3.1E+02
B0Ib	B	0	Ib	39.2	2.28E+05	2.62E+01	25000	-0.27	-6	-2.65	-8.65	0.631372549	0.741176471	1	3.0638E-03	1.89E-02	5.13E-02	4.5E+02	6.5E+02	2.0E+02
B0II	B	0	II	33.8	1.90E+05	1.91E+01	28000	-0.29	-5.5	-2.95	-8.45	0.635294118	0.737254902	1	6.8186E-03	2.13E-02	5.78E-02	4.1E+02	5.9E+02	1.8E+02
B0III	B	0	III	28.4	1.09E+05	1.45E+01	28000	-0.29	-4.9	-2.95	-7.85	0.619607843	0.694117647	1	1.3095E-02	2.22E-02	6.03E-02	3.1E+02	4.5E+02	1.4E+02
B0IV	B	0	IV	22.9	7.57E+04	1.21E+01	28000	-0.29	-4.5	-2.95	-7.45	0.611764706	0.701960784	1	1.8170E-02	2.00E-02	5.43E-02	2.6E+02	3.7E+02	1.1E+02
B0V	B	0	V	17.5	3.62E+04	8.34E+00	28000	-0.29	-3.7	-2.95	-6.65	0.611764706	0.698039216	1	4.2405E-02	2.03E-02	5.50E-02	1.8E+02	2.6E+02	7.9E+01
B0VI	B	0	VI	5.9	1.90E+04	6.04E+00	28000	-0.29	-3	-2.95	-5.95	0.611764706	0.698039216	1	3.7637E-02	6.57E-03	1.78E-02	1.3E+02	1.9E+02	5.7E+01

B1Ia0	B	1	Ia0	45.1	2.02E+06	8.62E+01	23790	-0.26	-8.5	-2.51	-11.01	0.658823529	0.756862745	1	9.8976E-05	6.93E-03	1.88E-02	1.3E+03	1.9E+03	5.9E+02
B1Ia	B	1	Ia	40	5.07E+05	4.32E+01	23790	-0.26	-7	-2.51	-9.51	0.658823529	0.756862745	1	6.9740E-04	1.18E-02	3.20E-02	6.7E+02	9.6E+02	2.9E+02
B1Ib	B	1	Ib	34.8	1.84E+05	2.60E+01	23790	-0.26	-5.9	-2.51	-8.41	0.658823529	0.756862745	1	2.7831E-03	1.63E-02	4.41E-02	4.0E+02	5.8E+02	1.8E+02
B1II	B	1	II	29.7	1.34E+05	1.83E+01	26190	-0.28	-5.3	-2.77	-8.07	0.639215686	0.745098039	1	6.8121E-03	1.87E-02	5.08E-02	3.4E+02	5.0E+02	1.5E+02
B1III	B	1	III	24.5	5.34E+04	1.16E+01	26190	-0.28	-4.3	-2.77	-7.07	0.619607843	0.694117647	1	2.2063E-02	2.28E-02	6.19E-02	2.2E+02	3.1E+02	9.6E+01
B1IV	B	1	IV	19.4	3.70E+04	9.63E+00	26190	-0.28	-3.9	-2.77	-6.67	0.615686275	0.705882353	1	3.0535E-02	2.01E-02	5.47E-02	1.8E+02	2.6E+02	8.0E+01
B1V	B	1	V	14.2	1.94E+04	6.97E+00	26190	-0.28	-3.2	-2.77	-5.97	0.62745098	0.71372549	1	5.8948E-02	1.84E-02	4.98E-02	1.3E+02	1.9E+02	5.8E+01
B1VI	B	1	VI	5.2	1.02E+04	5.05E+00	26190	-0.28	-2.5	-2.77	-5.27	0.62745098	0.71372549	1	5.6755E-02	6.64E-03	1.80E-02	9.5E+01	1.4E+02	4.2E+01

B2Ia0	B	2	Ia0	40.1	1.62E+06	8.57E+01	22580	-0.25	-8.4	-2.37	-10.77	0.694117647	0.768627451	1	8.9552E-05	5.96E-03	1.62E-02	1.2E+03	1.7E+03	5.3E+02
B2Ia	B	2	Ia	35.2	4.46E+05	4.50E+01	22580	-0.25	-7	-2.37	-9.37	0.694117647	0.768627451	1	5.4298E-04	9.54E-03	2.59E-02	6.3E+02	9.0E+02	2.8E+02
B2Ib	B	2	Ib	30.4	1.62E+05	2.71E+01	22580	-0.25	-5.9	-2.37	-8.27	0.694117647	0.768627451	1	2.1470E-03	1.30E-02	3.54E-02	3.8E+02	5.4E+02	1.7E+02
B2II	B	2	II	25.5	9.36E+04	1.77E+01	24380	-0.27	-5.1	-2.58	-7.68	0.647058824	0.752941176	1	6.4639E-03	1.58E-02	4.28E-02	2.9E+02	4.1E+02	1.3E+02
B2III	B	2	III	20.6	2.83E+04	9.71E+00	24380	-0.27	-3.8	-2.58	-6.38	0.623529412	0.705882353	1	3.1629E-02	2.16E-02	5.87E-02	1.6E+02	2.3E+02	7.0E+01
B2IV	B	2	IV	15.8	1.96E+04	8.08E+00	24380	-0.27	-3.4	-2.58	-5.98	0.623529412	0.701960784	1	4.2102E-02	1.83E-02	4.96E-02	1.3E+02	1.9E+02	5.8E+01
B2V	B	2	V	10.9	9.36E+03	5.59E+00	24380	-0.27	-2.6	-2.58	-5.18	0.62745098	0.705882353	1	8.7714E-02	1.61E-02	4.37E-02	9.1E+01	1.3E+02	4.0E+01
B2VI	B	2	VI	4.5	5.39E+03	4.24E+00	24380	-0.27	-2	-2.58	-4.58	0.62745098	0.705882353	1	8.2983E-02	6.52E-03	1.77E-02	6.9E+01	1.0E+02	3.0E+01

B3Ia0	B	3	Ia0	35.1	1.42E+06	8.95E+01	21370	-0.24	-8.4	-2.23	-10.63	0.68627451	0.760784314	1	6.8820E-05	4.78E-03	1.30E-02	1.1E+03	1.6E+03	4.9E+02
B3Ia	B	3	Ia	30.5	4.28E+05	4.92E+01	21370	-0.24	-7.1	-2.23	-9.33	0.68627451	0.760784314	1	3.5998E-04	7.21E-03	1.96E-02	6.2E+02	8.9E+02	2.7E+02
B3Ib	B	3	Ib	25.9	1.29E+05	2.70E+01	21370	-0.24	-5.8	-2.23	-8.03	0.68627451	0.760784314	1	1.8496E-03	1.06E-02	2.87E-02	3.4E+02	4.9E+02	1.5E+02
B3II	B	3	II	21.4	6.45E+04	1.71E+01	22570	-0.25	-4.9	-2.37	-7.27	0.658823529	0.756862745	1	6.0159E-03	1.29E-02	3.51E-02	2.4E+02	3.4E+02	1.1E+02
B3III	B	3	III	16.8	1.35E+04	7.82E+00	22570	-0.25	-3.2	-2.37	-5.57	0.639215686	0.733333333	1	4.9382E-02	2.05E-02	5.56E-02	1.1E+02	1.6E+02	4.8E+01
B3IV	B	3	IV	12.2	9.32E+03	6.51E+00	22570	-0.25	-2.8	-2.37	-5.17	0.650980392	0.737254902	1	6.2157E-02	1.60E-02	4.36E-02	9.1E+01	1.3E+02	4.0E+01
